,run_number,round_number,turn_number,partner_after_action_name,partner_after_action_personality_vector,partner_after_action_emotional_state,partner_after_action_location_state,partner_after_action_current_action_probs,partner_after_action_conversation_partner
0,0,0,0,David,[0 1 0 1 0],[-0.08079692 -0.09331979 -0.59328136],Hall,{},Robin
1,0,0,8,Donald,[0 1 0 0 1],[-0.88164864 -0.15686953  0.60392791],Kitchen,{},David
2,0,0,9,David,[0 1 0 0 0],[-1.41863696e-01  7.92813880e-01  4.25735985e-04],Kitchen,"{stands_in_corner: 0.37763307538111596, leaves_room: 0.3342811088568302, starts_conversation: 0.28808581576205383}",Donald
3,0,0,10,Robin,[0 0 0 0 0],[0.52343317 0.60484936 0.14013754],Hall,"{stands_in_corner: 0.3394025001640671, leaves_room: 0.36617102558039255, starts_conversation: 0.2944264742555404}",
4,0,0,12,Brian,[1 1 1 0 0],[-0.24319407  0.77873746 -0.78401121],Lounge,{},Robert
5,0,0,13,Michael,[0 1 0 1 1],[ 0.00453234 -0.76813906  0.48200467],Kitchen,"{stands_in_corner: 0.2554985460170905, leaves_room: 0.27357088440562777, starts_conversation: 0.4709305695772817}",Donald
6,0,0,16,Johnny,[1 0 1 0 1],[-0.78689892 -0.04438001  0.01641591],Lounge,{},Nola
7,0,0,19,Agnes,[0 0 1 0 1],[ 0.31549554 -0.05414953 -0.32528712],Kitchen,"{stands_in_corner: 0.3181238996610372, leaves_room: 0.3304211444366072, starts_conversation: 0.35145495590235565}",Martin
8,0,0,21,Nola,[1 0 0 0 0],[ 0.3516797   0.42006975 -1.        ],Lounge,"{stands_in_corner: 0.4578117703414586, leaves_room: 0.3013495903316096, starts_conversation: 0.24083863932693186}",
9,0,0,23,Phyllis,[0 0 1 0 0],[ 0.83934999 -0.52684944  0.43411926],Kitchen,"{stands_in_corner: 0.23295533099186078, leaves_room: 0.3212279033524059, starts_conversation: 0.4458167656557332}",Catherine
10,0,0,24,Mauricio,[1 1 1 1 0],[ 0.88858668 -0.92366702  0.53316072],Hall,{},Vicki
11,0,0,26,Elisabeth,[1 0 1 1 0],[-0.57277004 -0.1592853  -0.88703942],Lounge,"{stands_in_corner: 0.2549910868923217, leaves_room: 0.33892932499420203, starts_conversation: 0.4060795881134763}",Jerry
12,0,0,28,Robert,[0 1 1 0 0],[-0.65248249 -0.71240446 -0.49844457],Lounge,"{stands_in_corner: 0.21575318075645647, leaves_room: 0.4091271595936419, starts_conversation: 0.3751196596499018}",Brian
13,0,0,30,Vicki,[1 1 0 0 0],[0.21339219 0.85061929 0.50517604],Hall,"{stands_in_corner: 0.35246946521215866, leaves_room: 0.3284201779189255, starts_conversation: 0.3191103568689157}",Mauricio
14,0,0,31,Maria,[0 1 1 1 0],[ 0.40815085  0.78418703 -0.46722463],Hall,"{stands_in_corner: 0.3820584113840805, leaves_room: 0.2402131777203985, starts_conversation: 0.37772841089552095}",Lillian
15,0,1,34,Edith,[0 1 1 1 1],[-0.67294512  0.67964681  0.94580514],Hall,"{stands_in_corner: 0.31613900844968484, leaves_room: 0.30843451622030327, starts_conversation: 0.3754264753300119}",Ronnie
16,0,1,36,Catherine,[1 0 1 1 1],[-0.33044035 -0.30796557 -0.32841434],Kitchen,"{stands_in_corner: 0.26900610783021334, leaves_room: 0.32108751931530577, starts_conversation: 0.40990637285448095}",Phyllis
17,0,1,37,Martin,[1 0 0 1 1],[0.83855316 0.07157855 0.21397632],Kitchen,"{stands_in_corner: 0.33438804417856133, leaves_room: 0.29288544441974873, starts_conversation: 0.37272651140169005}",Agnes
18,0,1,39,Patrick,[0 0 0 0 1],[0.02383809 0.25120665 0.61324462],Lounge,"{stands_in_corner: 0.36199101010380164, leaves_room: 0.3309606255214382, starts_conversation: 0.3070483643747602}",Shawn
19,0,1,40,Donald,[0 1 0 0 1],[-0.87764864 -0.15486953  0.60502791],Kitchen,"{shouts: 0.060566797590638474, shares: 0.05098070749969185, leaves_conversation: 0.06766797905885197, makes_smalltalk: 0.0659390275977045, makes_deeptalk: 0.05673516971191774, gives_controversial_opinion: 0.05278321408999307, changes_the_topic: 0.059256307901813896, shows_interest: 0.05673516971191774, shows_concern: 0.07499767875765735, laughs: 0.052885824166998704, jokes: 0.048250138398975025, gives_an_insult: 0.08935400155103924, brags: 0.050458526693389946, yawns: 0.08566981673064897, supports: 0.05346849687383433, rants: 0.07425114366492724}",David
20,0,1,41,David,[0 1 0 0 0],[-0.1368637   0.49381388 -0.29957426],Kitchen,"{shouts: 0.06397494335026352, shares: 0.0519320953797715, leaves_conversation: 0.04418084713022706, makes_smalltalk: 0.15046073595113155, makes_deeptalk: 0.06085717128783148, gives_controversial_opinion: 0.049975266107833934, changes_the_topic: 0.03759821319764372, shows_interest: 0.06085717128783148, shows_concern: 0.057635778883734085, laughs: 0.06897412671390217, jokes: 0.050023515553218996, gives_an_insult: 0.057646079205082475, brags: 0.05486218359033191, yawns: 0.07852040981905957, supports: 0.054855383337054274, rants: 0.057646079205082475}",
21,0,1,43,Donald,[0 1 1 0 1],[-0.27250723 -0.90564979 -0.20167024],Kitchen,"{stands_in_corner: 0.22545374143743419, leaves_room: 0.309762934829441, starts_conversation: 0.4647833237331249}",Michael
22,0,1,44,Brian,[1 1 1 0 0],[-0.24319407  0.77873746 -0.79401121],Lounge,"{shouts: 0.06115015062901603, shares: 0.07180566218231306, leaves_conversation: 0.044819652030155394, makes_smalltalk: 0.07865679927101539, makes_deeptalk: 0.09413854338444892, gives_controversial_opinion: 0.04998246336144211, changes_the_topic: 0.041461629424524034, shows_interest: 0.06622627380025238, shows_concern: 0.08061717162265288, laughs: 0.06111797392770454, jokes: 0.05212763489245117, gives_an_insult: 0.05094546999043712, brags: 0.057235934764999004, yawns: 0.059446706426242946, supports: 0.07072809015702926, rants: 0.059539844135315836}",Robert
23,0,1,45,Michael,[0 1 0 1 1],[ 0.00153234 -0.76613906  0.48100467],Kitchen,"{shouts: 0.0511999280231674, shares: 0.05730123861377793, leaves_conversation: 0.054007780802231835, makes_smalltalk: 0.05671420573549235, makes_deeptalk: 0.05406424675259546, gives_controversial_opinion: 0.04257036173608333, changes_the_topic: 0.09218639815991186, shows_interest: 0.06420869367486831, shows_concern: 0.09386814128352902, laughs: 0.05102681343313436, jokes: 0.05094785596473551, gives_an_insult: 0.053945883594192216, brags: 0.04858716416232358, yawns: 0.11987905243639621, supports: 0.06094447715524123, rants: 0.048547758472319194}",Donald
24,0,1,46,Lillian,[1 1 1 1 1],[-0.4431162  -0.94851245  0.6532167 ],Hall,"{stands_in_corner: 0.24200449916530659, leaves_room: 0.2978473015785958, starts_conversation: 0.4601481992560978}",Maria
25,0,1,47,Ronnie,[0 0 0 1 0],[ 0.11062503  0.52886883 -0.40059661],Hall,"{stands_in_corner: 0.3774563195077103, leaves_room: 0.26384611808372094, starts_conversation: 0.35869756240856887}",Edith
26,0,1,51,Agnes,[0 0 1 0 1],[ 0.32049554 -0.05314953 -0.32448712],Kitchen,"{shouts: 0.05433714639846198, shares: 0.07946594199130404, leaves_conversation: 0.05055728036866908, makes_smalltalk: 0.07880086092664192, makes_deeptalk: 0.07487803022109918, gives_controversial_opinion: 0.04656304871905791, changes_the_topic: 0.0458765285617955, shows_interest: 0.0616845906817024, shows_concern: 0.06637619752983949, laughs: 0.05832190872467779, jokes: 0.049694494322762024, gives_an_insult: 0.06310775432724941, brags: 0.053057176279786636, yawns: 0.08197504132370739, supports: 0.07219624529599569, rants: 0.06310775432724941}",Martin
27,0,1,54,Jerry,[1 1 0 1 0],[ 0.64385524  0.25509082 -0.86260213],Lounge,"{stands_in_corner: 0.36589598108149557, leaves_room: 0.28374956476483365, starts_conversation: 0.3503544541536708}",Elisabeth
28,0,1,55,Phyllis,[0 0 1 0 0],[ 0.84534999 -0.52284944  0.43311926],Kitchen,"{shouts: 0.06999624566070153, shares: 0.093676283836307, leaves_conversation: 0.03696002827315731, makes_smalltalk: 0.07046537660295901, makes_deeptalk: 0.0734334815865531, gives_controversial_opinion: 0.04659398560470428, changes_the_topic: 0.058953370353844056, shows_interest: 0.05365156376050989, shows_concern: 0.04226315042922231, laughs: 0.05972475503593206, jokes: 0.059061224895167075, gives_an_insult: 0.04431742670839615, brags: 0.07276995144578813, yawns: 0.08700660597047971, supports: 0.06702720530183885, rants: 0.06409934453443937}",Catherine
29,0,1,56,Mauricio,[1 1 1 1 0],[ 0.93758668 -0.87166702  0.53216072],Hall,"{shouts: 0.05926378640606711, shares: 0.08827589482424203, leaves_conversation: 0.04232745704226819, makes_smalltalk: 0.05242085968131632, makes_deeptalk: 0.07629858416331972, gives_controversial_opinion: 0.04712281723057684, changes_the_topic: 0.07226836053342595, shows_interest: 0.07629858416331972, shows_concern: 0.052403514520480844, laughs: 0.057366453225274616, jokes: 0.06705460963224112, gives_an_insult: 0.043869555805904646, brags: 0.06141996622855841, yawns: 0.08411932574976913, supports: 0.07163638042701871, rants: 0.047853850366216755}",Vicki
30,0,1,58,Elisabeth,[1 0 1 1 0],[-0.57377004 -0.1572853  -0.88903942],Lounge,"{shouts: 0.056000463096604496, shares: 0.06939151663957245, leaves_conversation: 0.0709193053055254, makes_smalltalk: 0.05817706313111656, makes_deeptalk: 0.08259130664840483, gives_controversial_opinion: 0.045933240366307436, changes_the_topic: 0.045580960956994626, shows_interest: 0.08259130664840483, shows_concern: 0.0742515001921228, laughs: 0.0528245859803299, jokes: 0.060311197897666605, gives_an_insult: 0.044437537793578494, brags: 0.052586346202714435, yawns: 0.07102940642305589, supports: 0.08481408635264107, rants: 0.04856017636496027}",Jerry
31,0,1,60,Robert,[0 1 1 0 0],[-0.64248249 -0.96240446 -0.78844457],Lounge,"{shouts: 0.06379270666123373, shares: 0.061248236787138685, leaves_conversation: 0.0944970371503277, makes_smalltalk: 0.06879718258509401, makes_deeptalk: 0.06325654398255018, gives_controversial_opinion: 0.043549929932941975, changes_the_topic: 0.05070777057519265, shows_interest: 0.050519146734257635, shows_concern: 0.05719041871739551, laughs: 0.05527631161454802, jokes: 0.05259925846100204, gives_an_insult: 0.05163147394554457, brags: 0.0605794908290042, yawns: 0.09873427625501031, supports: 0.06325134457492164, rants: 0.06436887119383711}",
32,0,1,62,Vicki,[1 1 0 0 0],[0.26239219 0.90261929 0.50517604],Hall,"{shouts: 0.08376151800740661, shares: 0.06138707754767823, leaves_conversation: 0.0409149774274134, makes_smalltalk: 0.07669246447408633, makes_deeptalk: 0.07760466977810168, gives_controversial_opinion: 0.07542495561394096, changes_the_topic: 0.042279881872882695, shows_interest: 0.07760466977810168, shows_concern: 0.04846128295827284, laughs: 0.06874066693487553, jokes: 0.060021386682336926, gives_an_insult: 0.0551883618894876, brags: 0.06362736246244391, yawns: 0.06267566966075558, supports: 0.050426693022728536, rants: 0.0551883618894876}",Mauricio
33,0,1,63,Maria,[0 1 1 1 0],[ 0.40715085  0.78518703 -0.46722463],Hall,"{shouts: 0.06012760319575116, shares: 0.0637680792353293, leaves_conversation: 0.03530612112952453, makes_smalltalk: 0.0887715954748923, makes_deeptalk: 0.0806469350965506, gives_controversial_opinion: 0.04258904452177902, changes_the_topic: 0.03425029006744504, shows_interest: 0.0806469350965506, shows_concern: 0.06036894386244088, laughs: 0.07545162554587544, jokes: 0.06805935148148749, gives_an_insult: 0.04144392477088866, brags: 0.05934412329802413, yawns: 0.05616262293775116, supports: 0.10696769172683818, rants: 0.04609511255887144}",Lillian
34,0,2,65,Shawn,[0 0 1 1 1],[-0.35422762 -0.61942304  0.6849695 ],Lounge,"{stands_in_corner: 0.2427483876888837, leaves_room: 0.2924510250812681, starts_conversation: 0.46480058722984813}",Patrick
35,0,2,66,Edith,[0 1 1 1 1],[-0.66594512  0.72664681  0.95530514],Hall,"{shouts: 0.075640811754145, shares: 0.046030952974172104, leaves_conversation: 0.03909712656929695, makes_smalltalk: 0.06671304844476043, makes_deeptalk: 0.05654144852547927, gives_controversial_opinion: 0.0651475622197067, changes_the_topic: 0.03913963655708692, shows_interest: 0.05654144852547927, shows_concern: 0.07272698162376057, laughs: 0.04675866074377585, jokes: 0.05466758582617816, gives_an_insult: 0.10228872134006584, brags: 0.05154399289044006, yawns: 0.05578842875071547, supports: 0.06908487191487139, rants: 0.10228872134006584}",Ronnie
36,0,2,67,Johnny,[1 0 1 0 1],[-0.78689892  0.25561999  0.31641591],Hall,"{stands_in_corner: 0.47882480430013924, leaves_room: 0.5211751956998608}",Jacquelyn
37,0,2,68,Catherine,[1 0 1 1 1],[-0.32844035 -0.30996557 -0.32691434],Kitchen,"{shouts: 0.05373822836997812, shares: 0.0647118946556927, leaves_conversation: 0.06230438294763535, makes_smalltalk: 0.062153361953690624, makes_deeptalk: 0.07612218143231984, gives_controversial_opinion: 0.04812395933319813, changes_the_topic: 0.05226526026136357, shows_interest: 0.07612218143231984, shows_concern: 0.08011379282782746, laughs: 0.05145563231750812, jokes: 0.052646774108388125, gives_an_insult: 0.05271552849060492, brags: 0.049726640213207884, yawns: 0.0899949106322065, supports: 0.07508974253345396, rants: 0.05271552849060492}",Phyllis
38,0,2,69,Martin,[1 0 0 1 1],[0.83355316 0.10257855 0.24397632],Kitchen,"{shouts: 0.04747524333714334, shares: 0.13783422197929554, leaves_conversation: 0.04155257562644633, makes_smalltalk: 0.05082081474917924, makes_deeptalk: 0.07254866212408925, gives_controversial_opinion: 0.04305092062575347, changes_the_topic: 0.04305833829082017, shows_interest: 0.10283759222879456, shows_concern: 0.08426427813773775, laughs: 0.060430073986409844, jokes: 0.05380505533724954, gives_an_insult: 0.045713696565212854, brags: 0.05163478439343896, yawns: 0.06324559281040777, supports: 0.0609771485387745, rants: 0.0407510012692469}",Agnes
39,0,2,71,Patrick,[0 0 0 0 1],[0.02383809 0.31120665 0.67324462],Lounge,"{shouts: 0.06781425309384355, shares: 0.05377278317556334, leaves_conversation: 0.05751213591855617, makes_smalltalk: 0.0703146431966847, makes_deeptalk: 0.05975237865083288, gives_controversial_opinion: 0.06220200112803725, changes_the_topic: 0.049049681083404184, shows_interest: 0.05975237865083288, shows_concern: 0.0767724709140005, laughs: 0.055117441104543745, jokes: 0.051277814129433795, gives_an_insult: 0.08599928434697068, brags: 0.053612670325882905, yawns: 0.08473578462060474, supports: 0.051640765046578885, rants: 0.06067351461422964}",Shawn
40,0,2,75,Donald,[0 1 1 0 1],[-0.27050723 -0.90464979 -0.19767024],Kitchen,"{shouts: 0.05164086986810386, shares: 0.05673427364194435, leaves_conversation: 0.06857976580883618, makes_smalltalk: 0.06451428959494755, makes_deeptalk: 0.06113740371893821, gives_controversial_opinion: 0.04183594953326683, changes_the_topic: 0.055926034813035874, shows_interest: 0.051396046785879224, shows_concern: 0.06203618716852063, laughs: 0.04847930599636681, jokes: 0.04649081697012592, gives_an_insult: 0.06062932948747827, brags: 0.049407557759638336, yawns: 0.16035762310439325, supports: 0.06020521626104651, rants: 0.06062932948747827}",Michael
41,0,2,77,Michael,[0 1 0 1 1],[ 0.00753234 -0.76313906  0.48200467],Kitchen,"{shouts: 0.05122126310578909, shares: 0.05728790901104309, leaves_conversation: 0.054037208107111684, makes_smalltalk: 0.05674239161364048, makes_deeptalk: 0.054070485949417046, gives_controversial_opinion: 0.04259169681870502, changes_the_topic: 0.09198000552770383, shows_interest: 0.06421493287168989, shows_concern: 0.09388977274344806, laughs: 0.05103305262995594, jokes: 0.05094966990335208, gives_an_insult: 0.05397375181562914, brags: 0.048588978100940164, yawns: 0.11989224184035854, supports: 0.06095101326745992, rants: 0.04857562669375612}",Donald
